"＃" "漢字" "Meaning" "Story or Image" "As component" "Examples"     
"六百二十三" "視" "LOOK AT, regard"        
"六百二十四" "規" "REGULATION"        
"六百二十五" "則" "RULE, law"        
"六百二十六" "側" "SIDE"        
"六百二十七" "測" "MEASURE, gauge | CONJECTURE, estimate"        
"六百二十八" "考" "THINK; deliberate; study"        
"六百二十九" "老" "OLD"        
"六百三十" "孝" "FILIAL PIETY"        
"六百三十一" "厚" "THICK | KIND"        
"六百三十二" "教" "TEACH; inform | RELIGION"        
"六百三十三" "完" "COMPLETE"        
"六百三十四" "院" "INSTITUTION"        
"六百三十五" "奈" "PHONETIC (ナ)"        
"六百三十六" "宗" "RELIGIOUS SECT"        
"六百三十七" "祭" "FESTIVAL, worship"        
"六百三十八" "際" "VERGE, edge | OCCASION"        
"六百三十九" "察" "INSPECT, observe | GUESS, judge"        
"六百四十" "祈" "PRAY"        
"六百四十一" "祖" "ANCESTOR"        
"六百四十二" "助" "HELP, save"        
"六百四十三" "仲" "INTERMEDIARY | PERSONAL RELATIONS"        
"六百四十四" "忠" "LOYALTY, faithfulness"        
"六百四十五" "沖" "OPEN SEA"        
"六百四十六" "保" "PRESERVE, maintain, guarantee"        
"六百四十七" "呆" "DUMB, dumbfounded"        
"六百四十八" "守" "PROTECT, watch over, keep"        
"六百四十九" "団" "COLLECTIVE, group, organisation"        
"六百五十" "対" "OPPOSITE, counter to; in relation to | OPPOSE"        
"六百五十一" "村" "VILLAGE"        
"六百五十二" "才" "TALENT | -YEARS OLD"        
"六百五十三" "財" "WEALTH; property"        
"六百五十四" "材" "TIMBER | MATERIAL"        
"六百五十五" "沈" "SINK, submerge"        
"六百五十六" "枕" "PILLOW"        
"六百五十七" "丈" "STATURE; measure | STOUT"        
"六百五十八" "杖" "CANE, staff"        
"六百五十九" "偉" "GREAT, eminent"        
"六百六十" "緯" "LATITUDE; woof/weft"        
"六百六十一" "衛" "GUARD"        
"六百六十二" "韓" "SOUTH KOREA"        
"六百六十三" "違" "DIFFER; be wrong | VIOLATE"        
"六百六十四" "抱" "HOLD (in one's arms)"        
"六百六十五" "砲" "HEAVY GUN"        
"六百六十六" "泡" "BUBBLE, foam"        
"六百六十七" "丹" "CINNABAR RED (red ochre); wholeheartedly"        
"六百六十八" "舟" "SMALL BOAT"        
"六百六十九" "船" "SHIP"        
"六百七十" "舶" "OCEANGOING SHIP"        
"六百七十一" "般" "SORT, kind"        
"六百七十二" "搬" "CARRY"        
"六百七十三" "盤" "DISK | BOARD"        
"六百七十四" "歯" "TOOTH"        
"六百七十五" "冷" "COLD"        
"六百七十六" "齢" "AGE"        
"六百七十七" "少" "LITTLE, few"        
"六百七十八" "砂" "SAND"        
"六百七十九" "歩" "WALK, step"        
"六百八十" "渉" "HAVE RELATIONS WITH"        
"六百八十一" "省" "MINISTRY | SAVE, cut down on, leave out | INTROSPECT, reflect"        
"六百八十二" "相" "ASPECT; physiognomy | MUTUAL | MINISTER (of state)"        
"六百八十三" "想" "CONCEIVE of, think"        
"六百八十四" "称" "APPELLATION"        
"六百八十五" "弥" "phonetic ミ; phonetic や"        
"六百八十六" "互" "RECIPROCAL"        
"六百八十七" "務" "DUTY, office, business"        
"六百八十八" "柔" "SOFT"        
"六百八十九" "軟" "SOFT"        
"六百九十" "軌" "TRACK, path"        
"六百九十一" "軒" "EAVES | COUNTER FOR HOUSES"        
"六百九十二" "軸" "AXLE | AXIS"        
"六百九十三" "較" "COMPARE"        
"六百九十四" "庫" "STORAGE CHAMBER"        
"六百九十五" "蔵" "STORE, storehouse"        
"六百九十六" "倉" "STOREHOUSE"        
"六百九十七" "創" "CREATE"        
"六百九十八" "告" "NOTIFY | ACCUSE"        
"六百九十九" "造" "MAKE, build"        
"七百" "衣" "GARMENT, clothing"        
"七百一" "依" "DEPEND ON"        
"七百二" "袋" "BAG"        
"七百三" "褒" "COMMEND, praise"        
"七百四" "裏" "REAR, reverse, inside"        
"七百五" "表" "EXPRESS, manifest | SURFACE, outside, front | TABLE, chart"        
"七百六" "現" "ACTUAL, present | APPEAR"        
"七百七" "著" "AUTHOR | CONSPICUOUS"        
"七百八" "制" "SYSTEM | CONTROL"        
"七百九" "製" "MANUFACTURE"        
"七百十" "初" "FIRST"        
"七百十一" "裸" "NAKED"        
"七百十二" "難" "DIFFICULT | DISASTER | FAULT, criticise"        
"七百十三" "准" "JUNIOR"        
"七百十四" "準" "STANDARD, level | QUASI-"        
"七百十五" "備" "PROVIDE (for), furnish"        
"七百十六" "死" "DIE"        
"七百十七" "葬" "FUNERAL"        
"七百十八" "列" "COLUMN, row"        
"七百十九" "烈" "VEHEMENT, intense"        
"七百二十" "裂" "SPLIT, tear"        
"七百二十一" "例" "EXAMPLE, precedent"        
"七百二十二" "刑" "PENALTY"        
"七百二十三" "型" "TYPE, model"        
"七百二十四" "研" "GRIND, research"        
"七百二十五" "厄" "MISFORTUNE, trouble"        
"七百二十六" "危" "DANGEROUS"        
"七百二十七" "範" "MODEL"        
"七百二十八" "怨" "HOLD A GRUDGE, resent"        
"七百二十九" "苑" "IMPERIAL GARDEN"        
"七百三十" "宛" "ADDRESS"        
"七百三十一" "碗" "BOWL, cup"        
"七百三十二" "腕" "ARM | ABILITY"        
"七百三十三" "却" "ELIMINATE, reject"        
"七百三十四" "脚" "LEG"        
"七百三十五" "犯" "OFFENSE, violation"        
"七百三十六" "狂" "CRAZY, mad (about)"        
"七百三十七" "獄" "PRISON"        
"七百三十八" "非" "IS NOT, non-, un-, wrong"        
"七百三十九" "排" "EXCLUDE, reject | DISCHARGE, excrete"        
"七百四十" "俳" "HAIKU, actor"        
"七百四十一" "罪" "CRIME, sin"        
"七百四十二" "罰" "PUNISHMENT, heaven's vengeance"        
"七百四十三" "伴" "ACCOMPANY"        
"七百四十四" "判" "JUDGE, decide | PERSONAL SEAL"        
"七百四十五" "評" "COMMENT, evaluate"        
"七百四十六" "批" "CRITICISE, comment"        
"七百四十七" "帥" "COMMANDER IN CHIEF"        
"七百四十八" "師" "MASTER, teacher"        
"七百四十九" "座" "SEAT | SIT"        
"七百五十" "坐" "SIT"        
"七百五十一" "卒" "GRADUATE, come to an end | PRIVATE, soldier"        
"七百五十二" "率" "RATE, proportion | LEAD, commend"        
"七百五十三" "傘" "UMBRELLA"        
"七百五十四" "笠" "BAMBOO HAT"        
"七百五十五" "星" "STAR, celestial body"        
"七百五十六" "汁" "JUICE | SOUP"        
"七百五十七" "斗" "DIPPER, TO (18 litres)"        
"七百五十八" "料" "FEE | MATERIALS"        
"七百五十九" "科" "SUBJECT OF STUDY"        
"七百六十" "然" """-LIKE"", ""-ly"" (modifier-forming suffix) | SO, in that way"        
"七百六十一" "燃" "BURN"        
"七百六十二" "黙" "SILENT, tacit"        
"七百六十三" "獣" "BEAST"        
"七百六十四" "猟" "HUNTING"        
"七百六十五" "漁" "FISHING"        
"七百六十六" "狩" "HUNT"        
"七百六十七" "猛" "FEROCIOUS, intensive"        
"七百六十八" "煙" "SMOKE"        
"七百六十九" "焼" "BURN, roast"        
"七百七十" "暁" "DAWN"        
"七百七十一" "旧" "FORMER, old"        
"七百七十二" "児" "CHILD"        
"七百七十三" "亦" "ALSO"        
"七百七十四" "赤" "RED"        
"七百七十五" "変" "CHANGE, variation | ABNORMAL"        
"七百七十六" "蛮" "BARBARIAN"        
"七百七十七" "恋" "(romantic) LOVE"        
"七百七十八" "愛" "LOVE"        
"七百七十九" "憂" "BE ANXIOUS, worry | GRIEF"        
"七百八十" "優" "SUPERIOR | ACTOR | KIND"        
"七百八十一" "栗" "CHESTNUT"        
"七百八十二" "票" "SLIP OF PAPER | BALLOT"        
"七百八十三" "標" "MARK, label, sign"        
"七百八十四" "漂" "DRIFT, float"        
"七百八十五" "遷" "TRANSFER"        
"七百八十六" "各" "EACH, every, all; various"        
"七百八十七" "客" "VISITOR | CUSTOMER"        
"七百八十八" "路" "ROAD, way"        
"七百八十九" "格" "NORM, standard | STATUS, rank | CHARACTER"        
"七百九十" "絡" "INTERLINK | ENTWINE"        
"七百九十一" "略" "LEAVE OUT, abridge | STRATEGY; seize"        
"七百九十二" "閣" "STATELY BUILDING | CABINET (of government)"        
"七百九十三" "落" "FALL; fail"        
"七百九十四" "南" "SOUTH"        
"七百九十五" "西" "WEST"        
"七百九十六" "酉" "(sign of) THE ROOSTER"        
"七百九十七" "酒" "ALCOHOLIC DRINK"  "liquor, ferment"      
"七百九十八" "洒" "SPRINKLE, wash"        
"七百九十九" "配" "DISTRIBUTE | PUT IN ORDER, manage"        
"八百" "酸" "ACID | OXYGEN"        
"八百一" "猶" "DELAY"        
"八百二" "尊" "HONOUR, esteem"        
"八百三" "遵" "OBEY"        
"八百四" "導" "GUIDE, conduct"        
"八百五" "敬" "RESPECT, revere"        
"八百六" "警" "GUARD AGAINST | WARN"        
"八百七" "驚" "SURPRISE"        
"八百八" "散" "SCATTER, disperse; unrestrained"        
"八百九" "敢" "BOLDLY"        
"八百十" "厳" "SEVERE | SOLEMN"        
"八百十一" "仏" "BUDDHA"        
"八百十二" "払" "CLEAR AWAY | PAY"        
"八百十三" "拡" "ENLARGE | WIDEN"        
"八百十四" "可" "POSSIBLE, -able; worthy of | APPROVE"        
"八百十五" "何" "WHAT | HOW MANY, several"        
"八百十六" "苛" "TORMENT; severe"        
"八百十七" "荷" "LOAD, cargo"        
"八百十八" "河" "RIVER"        
"八百十九" "阿" "Phonetic (ア)"        
"八百二十" "司" "OFFICIATE, administer"        
"八百二十一" "伺" "INQUIRE, pay a visit"        
"八百二十二" "詞" "WORDS"        
"八百二十三" "飼" "RAISE ANIMALS"        
"八百二十四" "冊" "COUNTER FOR BOOKS"        
"八百二十五" "嗣" "HEIR"        
"八百二十六" "覗" "PEEK, come into view"        
"八百二十七" "歌" "SONG | JAPANESE POEM"        
"八百二十八" "唄" "DITTY"        
"八百二十九" "負" "BEAR | LOSE"        
"八百三十" "敗" "BE DEFEATED"        
"八百三十一" "責" "RESPONSIBILITY | BLAME, censure"        
"八百三十二" "積" "ACCUMULATE"        
"八百三十三" "債" "DEBT | BOND"        
"八百三十四" "漬" "PICKLE, immerse"        
"八百三十五" "紡" "SPIN, make yarn"        
"八百三十六" "績" "ACHIEVEMENTS; spin thread"        
"八百三十七" "具" "IMPLEMENT, tool"        
"八百三十八" "真" "TRUE, genuine"        
"八百三十九" "直" "STRAIGHT, direct, upright | PUT STRAIGHT, correct"        
"八百四十" "植" "PLANT"        
"八百四十一" "殖" "MULTIPLY"        
"八百四十二" "値" "VALUE, worth"        
"八百四十三" "置" "PLACE, put in place; leave in place"        
"八百四十四" "県" "PREFECTURE"        
"八百四十五" "州" "STATE, province | SANDBAR"        
"八百四十六" "洲" "SANDBAR"        
"八百四十七" "接" "CONTACT, join, meet"        
"八百四十八" "継" "SUCCEED, follow"        
"八百四十九" "断" "CUT OFF, refuse | DECIDE, resolve"        
"八百五十" "応" "RESPOND, correspond"        
"八百五十一" "床" "BED | FLOOR"        
"八百五十二" "麻" "HEMP | BECOME NUMB"        
"八百五十三" "歴" "PERSONAL HISTORY"        
"八百五十四" "暦" "CALENDAR"        
"八百五十五" "臨" "ATTEND (to) | CONFRONT"        
"八百五十六" "園" "GARDEN"        
"八百五十七" "遠" "DISTANT"        
"八百五十八" "与" "GIVE, grant | TAKE PART IN"        
"八百五十九" "写" "COPY"        
"八百六十" "移" "MOVE, shift"        
"八百六十一" "卸" "WHOLESALE"        
"八百六十二" "御" "GENERAL HONORIFIC TERM"        
"八百六十三" "複" "COMPOUND, double, duplicate"        
"八百六十四" "腹" "BELLY"        
"八百六十五" "復" "RETURN TO, repeat"        
"八百六十六" "往" "GO ON, proceed; pass away"        
"八百六十七" "柱" "PILLAR, mainstay"        
"八百六十八" "征" "CONQUER, invade"        
"八百六十九" "従" "FOLLOW, obey"        
"八百七十" "徒" "FOLLOWER, pupil | FELLOW(s) | GOING ON FOOT"        
"八百七十一" "縦" "VERTICAL"        
"八百七十二" "延" "EXTEND | POSTPONE"        
"八百七十三" "伸" "STRETCH, grow"        
"八百七十四" "紳" "GENTLEMAN"        
"八百七十五" "縮" "SHRINK, curl up"        
"八百七十六" "誕" "BE BORN"        
"八百七十七" "廷" "COURT"        
"八百七十八" "庭" "COURTYARD | GARDEN"        
"八百七十九" "艇" "BOAT"        
"八百八十" "展" "UNFOLD, develop | DISPLAY"        
"八百八十一" "殿" "PALACE | FORMAL HONORIFIC TITLE"        
"八百八十二" "異" "DIFFERENT"        
"八百八十三" "翼" "WING"        
"八百八十四" "累" "(AC)CUMULATE | ENCUMBER"        
"八百八十五" "塁" "BASE | SMALL FORT"        
"八百八十六" "吏" "OFFICIAL"        
"八百八十七" "使" "USE | ENVOY, dispatch"        
"八百八十八" "史" "HISTORY"        
"八百八十九" "更" "RENEW, replace | FURTHERMORE | GROW LATE"        
"八百九十" "便" "CONVENIENT | POSTAL DELIVERY, transportation | EXCRETA"        
"八百九十一" "硬" "HARD"        
"八百九十二" "能" "ABILITY; function | NOH DRAMA"        
"八百九十三" "態" "STATE, condition | POSTURE, attitude"        
"八百九十四" "熊" "BEAR"        
"八百九十五" "罷" "DISCONTINUE"        
"八百九十六" "羅" "LINE UP, arrange | phonetic ラ"        
"八百九十七" "雲" "CLOUD"        
"八百九十八" "曇" "CLOUDY"        
"八百九十九" "雪" "SNOW"        
"九百" "雷" "THUNDER"        
"九百一" "零" "ZERO"        
"九百二" "震" "QUAKE, tremble"        
"九百三" "振" "SWING, wave, wield, pretend"        
"九百四" "久" "OF LONG DURATION"        
"九百五" "賑" "FLOURISH; be bustling"        
"九百六" "丘" "HILL"        
"九百七" "兵" "SOLDIER"        
"九百八" "岳" "HIGH MOUNTAIN, peak"        
"九百九" "浜" "BEACH"        
"九百十" "舎" "HUT, building"        
"九百十一" "再" "ANOTHER TIME"        
"九百十二" "虎" "TIGER"        
"九百十三" "寅" "(sign of) THE TIGER"        
"九百十四" "演" "PERFORM"        
"九百十五" "黄" "YELLOW"        
"九百十六" "横" "SIDEWAYS, across | ARBITRARY, despotic"        
"九百十七" "構" "CONSTRUCT, frame | MIND care about"        
"九百十八" "講" "LECTURE"        
"九百十九" "購" "PURCHASE"        
"九百二十" "溝" "CHANNEL, ditch"        
"九百二十一" "仮" "TEMPORARY, provisional | FAKE"        
"九百二十二" "片" "FRAGMENT | ONE OF TWO"        
"九百二十三" "版" "PRINTING PLATE | PUBLISHING, printing"        
"九百二十四" "板" "BOARD | PLATE"        
"九百二十五" "販" "ENGAGE IN SALES"        
"九百二十六" "義" "RIGHTEOUSNESS | MEANING, sense | SUBSTITUTE, artificial"        
"九百二十七" "議" "DISCUSS | LEGISLATIVE BODY"        
"九百二十八" "儀" "CEREMONY, rite"        
"九百二十九" "犠" "SACRIFICE"        
"九百三十" "牲" "SACRIFICE"        
"九百三十一" "旨" "PURPORT, gist, aim"        
"九百三十二" "指" "FINGER | POINT (out)"        
"九百三十三" "揮" "BRANDISH, wave"        
"九百三十四" "輝" "SHINE BRILLIANTLY"        
"九百三十五" "刺" "PIERCE, stab"        
"九百三十六" "策" "SCHEME, plan | MEASURE"        
"九百三十七" "差" "DIVERGENCE, difference"        
"九百三十八" "着" "PUT ON (clothes) | ARRIVE | STICK, adhere"        
"九百三十九" "看" "OBSERVE, keep an eye on"        
"九百四十" "到" "ARRIVE"        
"九百四十一" "倒" "TOPPLE"        
"九百四十二" "論" "ARGUE, discuss | THEORY, view"        
"九百四十三" "倫" "MORALS"        
"九百四十四" "輪" "WHEEL | RING"        
"九百四十五" "輸" "TRANSPORT"        
"九百四十六" "諭" "ADMONISH, instruct"        
"九百四十七" "愉" "PLEASED"        
"九百四十八" "癒" "HEAL, soothe"        
"九百四十九" "台" "STAND, pedestal, platform | COUNTER FOR MACHINES / VEHICLES | TAIWAN"        
"九百五十" "治" "GOVERN, bring under control | CURE"        
"九百五十一" "冶" "WORK METALS"        
"九百五十二" "療" "TREAT, medicate"        
"九百五十三" "僚" "COLLEAGUE, official"        
"九百五十四" "瞭" "CLEAR"        
"九百五十五" "寮" "DORMITORY"        
"九百五十六" "始" "BEGIN"        
"九百五十七" "終" "END"        
"九百五十八" "了" "FINISH | COMPREHEND"        
"九百五十九" "承" "AGREE TO, be told | RECEIVE"        
"九百六十" "蒸" "STEAM, be steamed"        
"九百六十一" "舞" "DANCE"        
"九百六十二" "隣" "NEIGHBOUR"        
"九百六十三" "瞬" "BLINK; instant"        
"九百六十四" "夢" "DREAM"        
"九百六十五" "枝" "BRANCH"        
"九百六十六" "技" "SKILL, craft"        
"九百六十七" "伎" "PERFORMANCE"        
"九百六十八" "岐" "DIVERGE, fork"        
"九百六十九" "峠" "MOUNTAIN PASS"        
"九百七十" "阜" "MOUND"        
"九百七十一" "急" "URGENT | HURRY | SUDDEN"        
"九百七十二" "争" "CONTEND, struggle for"        
"九百七十三" "情" "EMOTION, feeling | ACTUAL CONDITIONS"        
"九百七十四" "清" "CLEAR, pure"        
"九百七十五" "晴" "CLEAR SKY"        
"九百七十六" "精" "REFINED; precise, meticulous | ESSENCE | SPIRIT"        
"九百七十七" "請" "REQUEST"        
"九百七十八" "静" "QUIET, still"        
"九百七十九" "浄" "CLEAN, pure"        
"九百八十" "算" "CALCULATE"        
"九百八十一" "答" "ANSWER"        
"九百八十二" "符" "SYMBOL, mark; tally stick"        
"九百八十三" "博" "EXTENSIVE (knowledge)"        
"九百八十四" "縛" "BIND, restrain"        
"九百八十五" "簿" "RECORD BOOK"        
"九百八十六" "薄" "THIN, scanty"        
"九百八十七" "采" "GATHER"        
"九百八十八" "菜" "VEGETABLE"        
"九百八十九" "採" "PICK | GATHER"        
"九百九十" "彩" "BEAUTIFUL COLOURING"        
"九百九十一" "杉" "CRYPTOMERIA, Japanese cedar"        
"九百九十二" "街" "CITY QUARTER, city street"        
"九百九十三" "術" "PRACTICAL ART, technique"        
"九百九十四" "述" "STATE, mention"        
"九百九十五" "余" "REMAINING, left over | EXCESS"        
"九百九十六" "除" "RID OF"        
"九百九十七" "徐" "SLOWLY"        
"九百九十八" "叙" "DESCRIBE, explain"        
"九百九十九" "斜" "OBLIQUE"        
"千" "途" "WAY, road"        
"千一" "塗" "APPLY ON A SURFACE, paint"        
"千二" "漆" "LACQUER"        
"千三" "仙" "HERMIT, immortal mountain fairy"        
"千四" "垂" "HANG DOWN, dangle"        
"千五" "乗" "RIDE; get on"        
"千六" "兼" "COMBINE | CANNNOT, find it difficult to"        
"千七" "剰" "SURPLUS"        
"千八" "睡" "SLEEP"        
"千九" "眠" "SLEEP"        
"千十" "郵" "MAIL"        
"千十一" "錘" "SPINDLE"        
"千十二" "華" "FLOWER | MAGNIFICENT | CHINA"        
"千十三" "侵" "INVADE; violate"        
"千十四" "浸" "SOAK, immerse"        
"千十五" "寝" "GO TO SLEEP"        
"千十六" "掃" "SWEEP (away)"        
"千十七" "婦" "ADULT WOMAN, wife"        
"千十八" "帰" "RETURN (home)"        
"千十九" "戻" "RETURN, give back"        
"千二十" "涙" "TEAR"        
"千二十一" "射" "SHOOT, radiate"        
"千二十二" "謝" "THANK | APOLOGISE"        
"千二十三" "討" "STUDY, examine | SUPPRESS BY ARMED FORCE"        
"千二十四" "訂" "REVISE, correct"        
"千二十五" "打" "STRIKE, (emphatic verbal prefix)"        
"千二十六" "撃" "STRIKE, attack; shoot"        
"千二十七" "拭" "WIPE"        
"千二十八" "試" "TRY, test"        
"千二十九" "検" "EXAMINE, investigate"        
"千三十" "験" "TEST, examine"        
"千三十一" "険" "DANGEROUS | STEEP"        
"千三十二" "倹" "FRUGAL"        
"千三十三" "剣" "SWORD"        
"千三十四" "谷" "VALLEY"        
"千三十五" "欲" "DESIRE"        
"千三十六" "浴" "BATHE"        
"千三十七" "容" "COUNTENANCE, appearance | CONTAIN, accommodate"        
"千三十八" "溶" "DISSOLVE | MELT"        
"千三十九" "俗" "POPULAR, vulgar"        
"千四十" "裕" "ABUNDANT"        
"千四十一" "寛" "LENIENT"        
"千四十二" "甘" "SWEET"        
"千四十三" "紺" "DARK BLUE"        
"千四十四" "紅" "CRIMSON"        
"千四十五" "攻" "ATTACK"        
"千四十六" "功" "MERIT(s), achievement"        
"千四十七" "巧" "SKILLFUL, ingenious"        
"千四十八" "朽" "DECAY"        
"千四十九" "枯" "WITHER"        
"千五十" "汚" "DIRTY, defile"        
"千五十一" "升" "SHO (1.8 litres)"        
"千五十二" "弁" "SPEAK, argue | MANAGE | VALVE"        
"千五十三" "昇" "ASCEND, rise in rank"        
"千五十四" "登" "ASCEND, climb | ATTEND, appear | REGISTER"        
"千五十五" "澄" "LIMPID"        
"千五十六" "充" "FILL | ALLOT"        
"千五十七" "銃" "GUN, rifle"        
"千五十八" "統" "UNITE, subjugate | INTERCONNECTED SYSTEM"        
"千五十九" "流" "FLOW | CURRENT | STYLE"        
"千六十" "硫" "SULFUR"        
"千六十一" "盲" "BLIND"        
"千六十二" "忘" "FORGET"        
"千六十三" "忙" "BUSY"        
"千六十四" "荒" "WILD, barren; devastated, ruined"        
"千六十五" "慌" "FLURRIED, hurried"        
"千六十六" "望" "HOPE | LOOK AFAR"        
"千六十七" "希" "RARE | ASPIRE"        
"千六十八" "稀" "RARE"        
"千六十九" "括" "LUMP TOGETHER"        
"千七十" "拘" "ARREST"        
"千七十一" "拾" "PICK UP"        
"千七十二" "捨" "DISCARD"        
"千七十三" "孤" "SOLITARY"        
"千七十四" "弧" "ARC"        
"千七十五" "弾" "PROJECTILE, bullet | SPRING BACK; play on (stringed instrument)"        
"千七十六" "禅" "ZEN"        
"千七十七" "系" "SYSTEM, interrelated group | LINEAGE, descent"        
"千七十八" "係" "CONNECT, relate to | PERSON IN CHARGE"        
"千七十九" "孫" "GRANDCHILD"        
"千八十" "懸" "SUSPEND"        
"千八十一" "偏" "ONE-SIDED, partial"        
"千八十二" "遍" "ALL OVER, everywhere | COUNTER FOR TIMES"        
"千八十三" "編" "COMPILE, edit | KNIT"        
"千八十四" "篇" "VOLUME; chapter, part"        
"千八十五" "普" "WIDESPREAD, common"        
"千八十六" "譜" "SYSTEMATIC RECORD; musical score"        
"千八十七" "職" "EMPLOYMENT, post"        
"千八十八" "織" "WEAVE"        
"千八十九" "識" "DISCRIMINATE, discern | KNOWLEDGE, learning"        
"千九十" "殉" "DIE A MARTYR"        
"千九十一" "退" "RETREAT"        
"千九十二" "眼" "EYE"        
"千九十三" "智" "WISDOM, intelligence"        
"千九十四" "仁" "HUMANENESS"        
"千九十五" "忍" "BEAR, endure; perform by stealth"        
"千九十六" "認" "RECOGNISE, admit"        
"千九十七" "求" "SEEK"        
"千九十八" "救" "SAVE, rescue"        
"千九十九" "球" "BALL, globe"        
"千百" "駐" "STATION TROOPS"        
"千百一" "純" "PURE"        
"千百二" "鈍" "DULL"        
"千百三" "召" "SUMMON"        
"千百四" "招" "INVITE"        
"千百五" "沼" "MUDDY POND"        
"千百六" "紹" "INTRODUCE"        
"千百七" "詔" "IMPERIAL EDICT"        
"千百八" "勅" "IMPERIAL DECREE"        
"千百九" "昭" "LUMINOUS, enlightened"        
"千百十" "照" "ILLUMINATE | EXAMINE BY COMPARISON"        
"千百十一" "超" "SURPASS, super-, ultra-"        
"千百十二" "越" "GO BEYONE"        
"千百十三" "趣" "PURPORT, gist, meaning | FLAVOUR, distinctive charm"        
"千百十四" "赴" "PROCEED TO"        
"千百十五" "訃" "DEATH REPORT"        
"千百十六" "朴" "SIMPLE"        
"千百十七" "掛" "SET (on) | HANG, fasten"        
"千百十八" "摘" "PICK, pluck"        
"千百十九" "滴" "DROP"        
"千百二十" "嫡" "LEGITIMATE WIFE / CHILD"        
"千百二十一" "適" "FIT, suit"        
"千百二十二" "敵" "ENEMY"        
"千百二十三" "授" "CONFER | INSTRUCT"        
"千百二十四" "援" "AID, give a hand"        
"千百二十五" "媛" "DAMSEL, young lady of noble birth"        
"千百二十六" "緩" "SLACK, loose"        
"千百二十七" "暖" "WARM"        
"千百二十八" "観" "VIEW"        
"千百二十九" "勧" "URGE, promote"        
"千百三十" "権" "RIGHT | POWER, authority"        
"千百三十一" "歓" "JOYOUS"        
"千百三十二" "鶴" "CRANE"        
"千百三十三" "確" "CERTAIN, definite"        
"千百三十四" "慢" "ARROGANT | SLUGGISH"        
"千百三十五" "漫" "RAMBLING | COMIC"        
"千百三十六" "卯" "(sign of) THE HARE"        
"千百三十七" "抑" "SUPPRESS"        
"千百三十八" "仰" "LOOK UP (to)"        
"千百三十九" "迎" "WELCOME; go out to meet"        
"千百四十" "柳" "WILLOW"        
"千百四十一" "卵" "EGG"        
"千百四十二" "疎" "SCATTERED | ESTRANGED"        
"千百四十三" "速" "QUICK"        
"千百四十四" "遅" "SLOW | LATE"        
"千百四十五" "辻" "CROSSROAD"        
"千百四十六" "迅" "SWIFT"        
"千百四十七" "加" "ADD (to), join"        
"千百四十八" "減" "DECREASE, subtract"        
"千百四十九" "滅" "EXTINGUISH, destroy"        
"千百五十" "威" "MIGHT, power; majesty | THREATEN BY FORCE"        
"千百五十一" "嚇" "INTIMIDATE"        
"千百五十二" "或" "A CERTAIN"        
"千百五十三" "惑" "BEWILDERED, led astray"        
"千百五十四" "域" "BOUNDED AREA, district"        
"千百五十五" "収" "TAKE IN, gain, seize"        
"千百五十六" "納" "PAY | ACCEPT | PUT IN PLACE"        
"千百五十七" "献" "OFFER | DONATE"        
"千百五十八" "貢" "TRIBUTE"        
"千百五十九" "貪" "COVET"        
"千百六十" "貰" "GET"        
"千百六十一" "貧" "POOR"        
"千百六十二" "賃" "WAGES | CHARGES"        
"千百六十三" "貸" "LEND, loan; rent out"        
"千百六十四" "貨" "MONEY, currency | GOODS; freight"        
"千百六十五" "資" "RESOURCES, capital"        
"千百六十六" "賛" "APPROVE OF | PRAISE"        
"千百六十七" "替" "REPLACE, substitute for"        
"千百六十八" "潜" "SUBMERGE | LURK"        
"千百六十九" "貿" "TRADE"        
"千百七十" "留" "KEEP IN PLACE | STAY, reside"        
"千百七十一" "溜" "ACCUMULATE"        
"千百七十二" "賀" "CONGRATULATE"        
"千百七十三" "架" "LAY ACROSS"        
"千百七十四" "染" "DYE, stain; infect"        
"千百七十五" "梨" "PEAR"        
"千百七十六" "傑" "PERSON OF EXCELLENCE"        
"千百七十七" "貴" "NOBLE; precious | YOUR HONOURABLE"        
"千百七十八" "潰" "CRUSH, break"        
"千百七十九" "遺" "LEAVE BEHIND, bequeath"        
"千百八十" "遣" "DISPATCH, envoy | USE"        
"千百八十一" "追" "CHASE, follow"        
"千百八十二" "迫" "PRESS, urge; draw near"        
"千百八十三" "泊" "STAY OVERNIGHT"        
"千百八十四" "伯" "OLDER SIBLING OF PARENT | COUNT, earl"        
"千百八十五" "拍" "BEAT, rhythm"        
"千百八十六" "弔" "CONDOLE; mourn"        
"千百八十七" "沸" "BOIL (over)"        
"千百八十八" "煮" "BOIL, cook"        
"千百八十九" "費" "SPEND"        
"千百九十" "弟" "YOUNGER BROTHER"        
"千百九十一" "第" "ORDINAL NUMBER PREFIX; order"        
"千百九十二" "剃" "SHAVE"        
"千百九十三" "兄" "OLDER BROTHER"        
"千百九十四" "只" "FREE OF CHARGE | JUST, only; ordinary"        
"千百九十五" "税" "TAX"        
"千百九十六" "鋭" "SHARP"        
"千百九十七" "説" "EXPLAIN; preach | THEORY, view"        
"千百九十八" "脱" "REMOVE | ESCAPE FROM"        
"千百九十九" "閲" "REVIEW, inspect"        
"千二百" "祝" "CELEBRATE, congratulate"        
"千二百一" "況" "CONDITIONS, state of affairs"        
"千二百二" "悦" "DELIGHTED"        
"千二百三" "克" "OVERCOME"        
"千二百四" "競" "COMPETE"        
"千二百五" "姉" "OLDER SISTER"        
"千二百六" "妹" "YOUNGER SISTER"        
"千二百七" "珠" "PEARL"        
